title,company,location,description,posted_at,apply_links
"Principal Software Engineer - Cloud, Analytics",Oracle,United States,"At Oracle Health Data Intelligence (HDI), we combine the strengths of the OCI, the leading healthcare technology platforms from Oracle Cerner, Oracle Healthcare’s Product & Technology, Oracle Health Applications & Infrastructure and the mission of the Oracle Healthcare Global Business Unit. Oracle HDI organization has a rare opportunity to play a critical part in how Oracle Health impacts and disrupts the healthcare industry by transforming how healthcare and technology intersect. We are investi...",4 days ago,"Sign In To Oracle - Oracle Cloud Infrastructure (OCI): https://eeho.fa.us2.oraclecloud.com/hcmUI/CandidateExperience/en/job/267135?utm_medium=search+engine&utm_source=google&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic | ZipRecruiter: https://www.ziprecruiter.com/c/1872-Consulting/Job/Software-Engineer-Analytics-Focus/-in-Pasadena,CA?jid=21b4c051f0dc097b&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic | Taro: https://www.jointaro.com/jobs/oracle/principal-software-engineer-cloud-analytics-a2c831f9/?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic | Indeed: https://www.indeed.com/viewjob?jk=ba273c87a0209ed2&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic | LinkedIn: https://www.linkedin.com/jobs/view/principal-software-engineer-cloud-analytics-at-oracle-4076388953?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic | Glassdoor: https://www.glassdoor.com/job-listing/principal-software-engineer-cloud-analytics-oracle-JV_KO0,43_KE44,50.htm?jl=1009530606318&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic | Jobs - Towards AI: https://jobs.towardsai.net/job/oracle-principal-software-engineer-cloud-analytics-ioym?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic | Recruit.net: https://www.recruit.net/job/software-engineer-cloud-analytics-jobs/18D535B93B53CD61?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic"
"Principal Software Engineer, Generative AI Application - 100% remote",Radian,Colorado (+3 others),"See yourself at Radian? We see you here too.

At Radian, we see you. For the person you are and the potential you hold. That’s why we’ve embraced a new way of working that lets our people across the country be themselves, be their best and be their boldest. Because when each of us is truly seen, each of us gives our best – and at Radian, we’ll give you our best right back.

Studies have shown that job seekers may hesitate to apply for jobs unless they meet every single qualification listed. We s...",22 days ago,Radian Jobs: https://careers.radian.com/us/en/job/R20240190/Principal-Software-Engineer-Generative-AI-Application-100-remote?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic | Indeed: https://www.indeed.com/viewjob?jk=4c5bfeec3c43f1cf&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic | Jobilize: https://www.jobilize.com/job/us-pa-principal-ml-engineer-adtech-liftoff-hiring-now-job-immediately?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic
Sr. Software Engineer,P3+Uplift,"Loveland, CO","• *Hybrid Schedule in Loveland, CO or Fort Collins, CO**
• No C2C at this time- Contract-to-Hire Position*

Job Position Summary: Join our client's team to design, build, and maintain a robust, cloud-native digital services platform that powers a wide array of high-performance data products and services. You'll play a critical role in ensuring seamless scalability, high availability, and optimized performance across our client's systems. With deep technical expertise, you'll identify and address...",6 days ago,LinkedIn: https://www.linkedin.com/jobs/view/sr-software-engineer-at-p3%2Buplift-4076976183?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic | Monster: https://www.monster.com/job-openings/sr-software-engineer-loveland-co--fa751bc6-c037-4218-86fc-0b68deb60f1a?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic | Professional Project Partners: https://jobs.p-3-inc.com/job/job-6977-sr-software-engineer-loveland-co/?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic | CareerBliss: https://www.careerbliss.com/jobs/detail/1958126799/?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic | Jobilize: https://www.jobilize.com/job/us-co-loveland-sr-software-engineer-geodelphi-hiring-now-job-immediately?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic
Senior Software Engineer,Empower,"Greenwood Village, CO","Our vision for the future is based on the idea that transforming financial lives starts by giving our people the freedom to transform their own. We have a flexible work environment, and fluid career paths. We not only encourage but celebrate internal mobility. We also recognize the importance of purpose, well-being, and work-life balance. Within Empower and our communities, we work hard to create a welcoming and inclusive environment, and our associates dedicate thousands of hours to volunteerin...",3 days ago,"Empower: https://jobs.empower.com/job/united-states/senior-software-engineer/42743/61958903104?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic | Paylocity: https://recruiting.paylocity.com/Recruiting/Jobs/Details/2797410?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic | LinkedIn: https://www.linkedin.com/jobs/view/senior-software-engineer-at-nextworld%C2%AE-4049588904?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic | Talent.com: https://www.talent.com/view?id=e08e445540d8&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic | Monster: https://www.monster.com/job-openings/senior-software-engineer-greenwood-village-co--a3212473-684c-4e0e-a156-c4008296f245?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic | BeBee: https://us.bebee.com/job/b2189d65b330bc57a4cd63625c9b9705?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic | Glassdoor: https://www.glassdoor.com/job-listing/senior-software-engineer-cobank-JV_IC1164302_KO0,24_KE25,31.htm?jl=1009525135881&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic | Ladders: https://www.theladders.com/job-listing/senior-software-engineer-mitek-greenwood-village-co-_v2_-7-535866763.html?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic"
Senior Software Engineer - Triton Tools,2100 NVIDIA USA,United States,"NVIDIA has been transforming computer graphics, PC gaming, and accelerated computing for more than 25 years. It’s a unique legacy of innovation that’s fueled by great technology—and amazing people. Today, we’re tapping into the unlimited potential of AI to define the next era of computing. An era in which our GPU acts as the brains of computers, robots, and self-driving cars that can understand the world. Doing what’s never been done before takes vision, innovation, and the world’s best talent. ...",7 days ago,"Workday: https://nvidia.wd5.myworkdayjobs.com/en-US/NVIDIAExternalCareerSite/job/Senior-Software-Engineer_JR1987613?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic | Dice: https://www.dice.com/job-detail/66ef35ad-98d3-454e-a541-0636ca7fb9ce?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic | LinkedIn: https://www.linkedin.com/jobs/view/senior-software-engineer-triton-tools-at-nvidia-4027849210?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic | Rise AI Job Search | Tech Startup Jobs, Remote Jobs Hiring Now: https://app.joinrise.co/jobs/nvidia-senior-software-engineer-triton-tools-0d14?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic | Fairygodboss: https://fairygodboss.com/jobs/nvidia/senior-software-engineer-triton-tools-5f5d4e6bdb428a45031ab6c9b198d8a7?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic | BeBee: https://us.bebee.com/job/3d7e474ba0eed2135b42e16467fc83e0?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic | Get.It: https://www.get.it/job/senior-software-engineer-merchandising-tools-in-bentonville-ar-at-walmart-ga_538810010009010751?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic | Blind: https://www.teamblind.com/jobs/129141839?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic"
Principal Software Engineer – MarkLogic Database,Progress,United States,"We are Progress (Nasdaq: PRGS) - the trusted provider of software that enables our customers to develop, deploy and manage responsible, AI-powered applications and experiences with agility and ease. We’re proud to have a diverse, global team where we value the individual and enrich our culture by considering varied perspectives because we believe people power progress. Join us as a Principal Software Engineer working out of your home office in the United States, and help us do what we do best: p...",8 days ago,"Progress Software: https://www.progress.com/company/careers/principal-software-engineer-marklogic-database-oe3cufwx?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic | Indeed: https://www.indeed.com/viewjob?jk=f8b52206baab4baf&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic | Jobvite: https://jobs.jobvite.com/progress/job/oE3Cufwx?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic | Upwork: https://www.upwork.com/freelance-jobs/apply/Reverse-Engineer-SQLite-Database_~021857081761547683032/?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic | LinkedIn: https://www.linkedin.com/jobs/view/principal-software-engineer-%E2%80%93-marklogic-database-at-progress-4045054481?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic | Jooble: https://jooble.org/jdp/-4407411550555446029?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic | Remote Africa: https://remoteafrica.io/jobs/f/mailerlite-database-engineer-sre-team?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic | Rise AI Job Search | Tech Startup Jobs, Remote Jobs Hiring Now: https://app.joinrise.co/jobs/cornell-university-database-engineer-hybridfully-remote-sdtu?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic"
Software Engineer Sr. - Clearance Required,Lockheed Martin,"Littleton, CO","Description:WHAT WE’RE DOING
At Lockheed Martin, we engineer innovative solutions to deliver resilient systems, products, and services across evolving cyber threats. As risks to our hardware, software, and supply chains continue to rise, our customers require advanced solutions to mitigate growing vulnerabilities and ensure our systems can operate in cyber contested environments. Strong resiliency-focused engineering leadership is essential to protecting Rotary and Mission Systems (RMS) platform...",N/A,"Lockheed Martin: https://www.lockheedmartinjobs.com/job/littleton/software-engineer-sr-clearance-required/694/66281510960?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic | ZipRecruiter: https://www.ziprecruiter.com/c/Lockheed-Martin/Job/Software-Engineer-Sr.-Clearance-Required/-in-Littleton,CO?jid=09aca6ce2c023756&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic | Dice.com: https://www.dice.com/job-detail/8b452090-00b9-44ff-8a22-a57df6f895d0?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic | Indeed: https://www.indeed.com/viewjob?jk=6ef4b7c9db129854&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic | Cleared Careers: https://clearedcareers.com/job/555786/software-engineer-sr-clearance-required/?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic | JSfirm.com: https://www.jsfirm.com/job/Engineering-Software-Engineer-Sr---Clearance-Required/Littleton-Colorado/jobID_1401050?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic | Glassdoor: https://www.glassdoor.com/job-listing/software-engineer-sr-clearance-required-lockheed-martin-JV_IC1148194_KO0,39_KE40,55.htm?jl=1009517858514&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic | IT Diversity Careers: https://www.itdiversitycareers.com/job/software-engineer-sr-clearance-required-littleton-colorado-12709343?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic"
"Lead Software Engineer, AI Programs",KPMG LLP,"Denver, CO","Known for being a great place to work and build a career, KPMG provides audit, tax and advisory services for organizations in today's most important industries. Our growth is driven by delivering real results for our clients. It's also enabled by our culture, which encourages individual development, embraces an inclusive environment, rewards innovative excellence and supports our communities. With qualities like those, it's no wonder we're consistently ranked among the best companies to work for...",20 days ago,"KPMG Careers: https://www.kpmguscareers.com/jobdetail/?jobId=112758&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic | Indeed: https://www.indeed.com/viewjob?jk=e0465436e5cd72f2&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic | Glassdoor: https://www.glassdoor.com/job-listing/lead-software-engineer-ai-programs-kpmg-JV_IC1148170_KO0,34_KE35,39.htm?jl=1009345568495&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic | LinkedIn: https://www.linkedin.com/jobs/view/lead-software-engineer-ai-programs-at-kpmg-us-3946470261?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic | MilwaukeeJobs.com: https://www.milwaukeejobs.com/j/t-Lead-Software-Engineer-AI-Programs-e-KPMG-l-Denver,-CO-jobs-j81137236.html?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic | Ladders: https://www.theladders.com/job/lead-software-engineer-ai-programs-kpmgllp-denver-co_72691315?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic | DiversityInc Jobs - Fair360: https://jobs.fair360.com/job/lead-software-engineer-ai-programs-denver-colorado-64801279?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic | Blind: https://www.teamblind.com/jobs/126973461?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic"
"Software Engineer, Backend - FedRAMP - 31023",Splunk,Colorado,"Splunk is here to build a safer and more resilient digital world. The world's leading enterprises use our unified security and observability platform to keep their digital systems secure and reliable. While customers love our technology, it's our people that make Splunk stand out as an amazing career destination and why we've won so many awards as a best place to work. If you become a Splunker, we want your whole, authentic self, what we call your ""million data points"". So bring your work experi...",14 days ago,Splunk: https://www.splunk.com/en_us/careers/jobs/software-engineer-backend-fedramp-31023.html?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic | Dice.com: https://www.dice.com/job-detail/66d505c6-e467-43ac-910c-49ac6fbdeac5?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic
"Software Engineer, New College Grad - 2025",Visa,"Austin, TX","Company Description

Visa is a world leader in digital payments, facilitating more than 215 billion payments transactions between consumers, merchants, financial institutions and government entities across more than 200 countries and territories each year. Our mission is to connect the world through the most innovative, convenient, reliable and secure payments network, enabling individuals, businesses and economies to thrive.

When you join Visa, you join a culture of purpose and belonging – whe...",6 days ago,"SmartRecruiters: https://www.smartrecruiters.com/Visa/744000026540225-software-engineer-new-college-grad-2025?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic | ZipRecruiter: https://www.ziprecruiter.com/c/Visa/Job/Software-Engineer,-New-College-Grad-2025/-in-Austin,TX?jid=1ac8bc88e74a947e&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic | Glassdoor: https://www.glassdoor.com/job-listing/software-engineer-new-college-grad-2025-visa-JV_IC1139761_KO0,39_KE40,44.htm?jl=1009528188130&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic | Startup Jobs: https://startup.jobs/software-engineer-new-college-grad-2025-visa-6006864?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic | Indeed: https://www.indeed.com/viewjob?jk=be08a82cc85cbe72&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic | Adzuna: https://www.adzuna.com/details/4940524854?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic | Diversity Jobs: https://diversityjobs.com/career/10282618/Software-Engineer-New-College-Grad-2025-Texas-Austin?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic | Built In Austin: https://www.builtinaustin.com/node/161203?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic"
